timestamp,REAL/FAKE,BASE_BYTES,LOAD_BYTES,FINAL_BYTES,REAL_BYTES
2025-06-18 17:48:48,REAL,2686332555,692,2686333247,2686333247
2025-06-18 17:48:50,REAL,2686333247,482,2686333729,2686333729
2025-06-18 17:48:52,REAL,2686333729,485,2686334214,2686334214
2025-06-18 17:48:54,REAL,2686334214,489,2686334703,2686334703
2025-06-18 17:48:56,REAL,2686334703,487,2686335190,2686335190
2025-06-18 17:48:58,REAL,2686335190,484,2686335674,2686335674
2025-06-18 17:49:00,REAL,2686335674,475,2686336149,2686336149
2025-06-18 17:49:02,REAL,2686336149,478,2686336627,2686336627
2025-06-18 17:49:04,REAL,2686336627,482,2686337109,2686337109
2025-06-18 17:49:06,REAL,2686337109,477,2686337586,2686337586
2025-06-18 17:49:08,REAL,2686337586,480,2686338066,2686338066
2025-06-18 17:49:10,REAL,2686338066,490,2686338556,2686338556
2025-06-18 17:49:12,REAL,2686338556,476,2686339032,2686339032
2025-06-18 17:49:14,REAL,2686339032,482,2686339514,2686339514
2025-06-18 17:49:16,REAL,2686339514,479,2686339993,2686339993
2025-06-18 17:49:18,REAL,2686339993,484,2686340477,2686340477
2025-06-18 17:49:20,REAL,2686340477,487,2686340964,2686340964
2025-06-18 17:49:22,REAL,2686340964,475,2686341439,2686341439
2025-06-18 17:49:24,REAL,2686341439,536,2686341975,2686341975
2025-06-18 17:49:26,REAL,2686341975,482,2686342457,2686342457
2025-06-18 17:49:28,REAL,2686342457,483,2686342940,2686342940
2025-06-18 17:49:30,REAL,2686342940,481,2686343421,2686343421
2025-06-18 17:49:32,REAL,2686343421,489,2686343910,2686343910
2025-06-18 17:49:34,REAL,2686343910,484,2686344394,2686344394
2025-06-18 17:49:36,REAL,2686344394,475,2686344869,2686344869
2025-06-18 17:49:38,REAL,2686344869,14468,2686359337,2686359337
2025-06-18 17:49:40,REAL,2686359337,10260,2686369597,2686369597
2025-06-18 17:49:42,REAL,2686369597,10252,2686379849,2686379849
2025-06-18 17:49:44,REAL,2686379849,10260,2686390109,2686390109
2025-06-18 17:49:46,REAL,2686390109,10247,2686400356,2686400356
2025-06-18 17:49:48,REAL,2686400356,10254,2686410610,2686410610
2025-06-18 17:49:50,REAL,2686410610,10259,2686420869,2686420869
2025-06-18 17:49:52,REAL,2686420869,5965,2686426834,2686426834
2025-06-18 17:49:54,REAL,2686426834,478,2686427312,2686427312
2025-06-18 17:49:56,REAL,2686427312,486,2686427798,2686427798
2025-06-18 17:49:58,REAL,2686427798,484,2686428282,2686428282
2025-06-18 17:50:00,REAL,2686428282,484,2686428766,2686428766
2025-06-18 17:50:02,REAL,2686428766,480,2686429246,2686429246
2025-06-18 17:50:04,REAL,2686429246,487,2686429733,2686429733
2025-06-18 17:50:06,REAL,2686429733,484,2686430217,2686430217
2025-06-18 17:50:08,REAL,2686430217,485,2686430702,2686430702
2025-06-18 17:50:10,REAL,2686430702,478,2686431180,2686431180
2025-06-18 17:50:12,REAL,2686431180,487,2686431667,2686431667
2025-06-18 17:50:14,REAL,2686431667,543,2686432210,2686432210
2025-06-18 17:50:16,REAL,2686432210,485,2686432695,2686432695
2025-06-18 17:50:18,REAL,2686432695,483,2686433178,2686433178
2025-06-18 17:50:20,REAL,2686433178,480,2686433658,2686433658
2025-06-18 17:50:22,REAL,2686433658,481,2686434139,2686434139
2025-06-18 17:50:24,REAL,2686434139,491,2686434630,2686434630
2025-06-18 17:50:26,REAL,2686434630,547,2686435177,2686435177
2025-06-18 17:50:28,REAL,2686435177,487,2686435664,2686435664
2025-06-18 17:50:30,REAL,2686435664,483,2686436147,2686436147
2025-06-18 17:50:32,REAL,2686436147,486,2686436633,2686436633
2025-06-18 17:50:34,REAL,2686436633,481,2686437114,2686437114
2025-06-18 17:50:36,REAL,2686437114,483,2686437597,2686437597
2025-06-18 17:50:38,REAL,2686437597,484,2686438081,2686438081
2025-06-18 17:50:40,REAL,2686438081,963,2686439044,2686439044
2025-06-18 17:50:42,REAL,2686439044,16259,2686455303,2686455303
2025-06-18 17:50:44,REAL,2686455303,10248,2686465551,2686465551
2025-06-18 17:50:46,REAL,2686465551,10252,2686475803,2686475803
2025-06-18 17:50:48,REAL,2686475803,10253,2686486056,2686486056
2025-06-18 17:50:50,REAL,2686486056,10319,2686496375,2686496375
2025-06-18 17:50:52,REAL,2686496375,10256,2686506631,2686506631
2025-06-18 17:50:54,REAL,2686506631,10251,2686516882,2686516882
2025-06-18 17:50:56,REAL,2686516882,4702,2686521584,2686521584
2025-06-18 17:50:58,REAL,2686521584,487,2686522071,2686522071
2025-06-18 17:51:00,REAL,2686522071,484,2686522555,2686522555
2025-06-18 17:51:02,REAL,2686522555,487,2686523042,2686523042
2025-06-18 17:51:04,REAL,2686523042,490,2686523532,2686523532
2025-06-18 17:51:06,REAL,2686523532,480,2686524012,2686524012
2025-06-18 17:51:08,REAL,2686524012,480,2686524492,2686524492
2025-06-18 17:51:10,REAL,2686524492,487,2686524979,2686524979
2025-06-18 17:51:12,REAL,2686524979,482,2686525461,2686525461
2025-06-18 17:51:14,REAL,2686525461,479,2686525940,2686525940
2025-06-18 17:51:16,REAL,2686525940,539,2686526479,2686526479
2025-06-18 17:51:18,REAL,2686526479,482,2686526961,2686526961
2025-06-18 17:51:20,REAL,2686526961,534,2686527495,2686527495
2025-06-18 17:51:22,REAL,2686527495,483,2686527978,2686527978
2025-06-18 17:51:24,REAL,2686527978,489,2686528467,2686528467
2025-06-18 17:51:26,REAL,2686528467,484,2686528951,2686528951
2025-06-18 17:51:28,REAL,2686528951,486,2686529437,2686529437
2025-06-18 17:51:30,REAL,2686529437,485,2686529922,2686529922
2025-06-18 17:51:32,REAL,2686529922,476,2686530398,2686530398
2025-06-18 17:51:34,REAL,2686530398,483,2686530881,2686530881
2025-06-18 17:51:36,REAL,2686530881,544,2686531425,2686531425
2025-06-18 17:51:38,REAL,2686531425,483,2686531908,2686531908
2025-06-18 17:51:40,REAL,2686531908,484,2686532392,2686532392
2025-06-18 17:51:42,REAL,2686532392,480,2686532872,2686532872
2025-06-18 17:51:44,REAL,2686532872,477,2686533349,2686533349
2025-06-18 17:51:46,REAL,2686533349,478,2686533827,2686533827
2025-06-18 17:51:48,REAL,2686533827,483,2686534310,2686534310
2025-06-18 17:51:50,REAL,2686534310,484,2686534794,2686534794
2025-06-18 17:51:52,REAL,2686534794,481,2686535275,2686535275
2025-06-18 17:51:54,REAL,2686535275,489,2686535764,2686535764
2025-06-18 17:51:56,REAL,2686535764,488,2686536252,2686536252
2025-06-18 17:51:58,REAL,2686536252,546,2686536798,2686536798
2025-06-18 17:52:00,REAL,2686536798,489,2686537287,2686537287
2025-06-18 17:52:02,REAL,2686537287,542,2686537829,2686537829
2025-06-18 17:52:04,REAL,2686537829,490,2686538319,2686538319
2025-06-18 17:52:06,REAL,2686538319,492,2686538811,2686538811
2025-06-18 17:52:08,REAL,2686538811,490,2686539301,2686539301
2025-06-18 17:52:10,REAL,2686539301,484,2686539785,2686539785
2025-06-18 17:52:12,REAL,2686539785,475,2686540260,2686540260
2025-06-18 17:52:14,REAL,2686540260,493,2686540753,2686540753
2025-06-18 17:52:16,REAL,2686540753,3331,2686544084,2686544084
2025-06-18 17:52:18,REAL,2686544084,14202,2686558286,2686558286
2025-06-18 17:52:20,REAL,2686558286,10250,2686568536,2686568536
2025-06-18 17:52:22,REAL,2686568536,10322,2686578858,2686578858
2025-06-18 17:52:24,REAL,2686578858,10258,2686589116,2686589116
2025-06-18 17:52:26,REAL,2686589116,10246,2686599362,2686599362
2025-06-18 17:52:28,REAL,2686599362,10252,2686609614,2686609614
2025-06-18 17:52:30,REAL,2686609614,10250,2686619864,2686619864
2025-06-18 17:52:32,REAL,2686619864,2802,2686622666,2686622666
2025-06-18 17:52:34,REAL,2686622666,482,2686623148,2686623148
2025-06-18 17:52:36,REAL,2686623148,483,2686623631,2686623631
2025-06-18 17:52:38,REAL,2686623631,484,2686624115,2686624115
2025-06-18 17:52:40,REAL,2686624115,539,2686624654,2686624654
2025-06-18 17:52:42,REAL,2686624654,483,2686625137,2686625137
2025-06-18 17:52:44,REAL,2686625137,485,2686625622,2686625622
2025-06-18 17:52:46,REAL,2686625622,485,2686626107,2686626107
