timestamp,REAL/FAKE,BASE_BYTES,LOAD_BYTES,FINAL_BYTES,REAL_BYTES
2025-06-18 19:54:40,REAL,2842731029,1690,2842732719,2842732719
2025-06-18 19:54:42,REAL,2842732719,479,2842733198,2842733198
2025-06-18 19:54:44,REAL,2842733198,480,2842733678,2842733678
2025-06-18 19:54:46,REAL,2842733678,481,2842734159,2842734159
2025-06-18 19:54:48,REAL,2842734159,482,2842734641,2842734641
2025-06-18 19:54:50,FAKE,2842734641,241,2842734882,2842735118
2025-06-18 19:54:52,FAKE,2842734882,238,2842735120,2842735598
2025-06-18 19:54:54,REAL,2842735120,483,2842735603,2842736081
2025-06-18 19:54:56,REAL,2842735603,6499,2842742102,2842742580
2025-06-18 19:54:58,REAL,2842742102,14218,2842756320,2842756798
2025-06-18 19:55:00,REAL,2842756320,10248,2842766568,2842767046
2025-06-18 19:55:02,REAL,2842766568,10308,2842776876,2842777354
2025-06-18 19:55:04,REAL,2842776876,10248,2842787124,2842787602
2025-06-18 19:55:06,REAL,2842787124,10253,2842797377,2842797855
2025-06-18 19:55:08,REAL,2842797377,10008,2842807385,2842807863
2025-06-18 19:55:10,REAL,2842807385,10244,2842817629,2842818107
2025-06-18 19:55:12,REAL,2842817629,1138,2842818767,2842819245
2025-06-18 19:55:14,REAL,2842818767,485,2842819252,2842819730
2025-06-18 19:55:16,FAKE,2842819252,244,2842819496,2842820207
2025-06-18 19:55:18,FAKE,2842819496,244,2842819740,2842820699
2025-06-18 19:55:20,REAL,2842819740,494,2842820234,2842821193
2025-06-18 19:55:22,REAL,2842820234,537,2842820771,2842821730
2025-06-18 19:55:24,FAKE,2842820771,241,2842821012,2842822271
2025-06-18 19:55:26,FAKE,2842821012,241,2842821253,2842822759
2025-06-18 19:55:28,REAL,2842821253,6166,2842827419,2842828925
2025-06-18 19:55:30,FAKE,2842827419,244,2842827663,2842839903
2025-06-18 19:55:32,FAKE,2842827663,243,2842827906,2842850151
2025-06-18 19:55:34,REAL,2842827906,10252,2842838158,2842860403
2025-06-18 19:55:36,FAKE,2842838158,243,2842838401,2842870720
2025-06-18 19:55:38,FAKE,2842838401,238,2842838639,2842880964
2025-06-18 19:55:40,REAL,2842838639,10248,2842848887,2842891212
2025-06-18 19:55:42,REAL,2842848887,10317,2842859204,2842901529
2025-06-18 19:55:44,REAL,2842859204,481,2842859685,2842902010
2025-06-18 19:55:46,FAKE,2842859685,238,2842859923,2842902546
2025-06-18 19:55:48,REAL,2842859923,477,2842860400,2842903023
2025-06-18 19:55:50,FAKE,2842860400,243,2842860643,2842903502
2025-06-18 19:55:52,REAL,2842860643,535,2842861178,2842904037
2025-06-18 19:55:54,REAL,2842861178,490,2842861668,2842904527
2025-06-18 19:55:56,REAL,2842861668,480,2842862148,2842905007
2025-06-18 19:55:58,FAKE,2842862148,238,2842862386,2842905495
2025-06-18 19:56:00,REAL,2842862386,6962,2842869348,2842912457
2025-06-18 19:56:02,REAL,2842869348,11043,2842880391,2842923500
2025-06-18 19:56:04,REAL,2842880391,10250,2842890641,2842933750
2025-06-18 19:56:06,FAKE,2842890641,243,2842890884,2842944000
2025-06-18 19:56:08,REAL,2842890884,10244,2842901128,2842954244
2025-06-18 19:56:10,REAL,2842901128,10381,2842911509,2842964625
2025-06-18 19:56:12,REAL,2842911509,10253,2842921762,2842974878
2025-06-18 19:56:14,FAKE,2842921762,243,2842922005,2842984541
2025-06-18 19:56:16,FAKE,2842922005,238,2842922243,2842985024
2025-06-18 19:56:18,FAKE,2842922243,243,2842922486,2842985517
2025-06-18 19:56:20,FAKE,2842922486,243,2842922729,2842985998
2025-06-18 19:56:22,REAL,2842922729,488,2842923217,2842986486
2025-06-18 19:56:24,FAKE,2842923217,238,2842923455,2842987028
2025-06-18 19:56:26,FAKE,2842923455,244,2842923699,2842987518
2025-06-18 19:56:28,REAL,2842923699,488,2842924187,2842988006
2025-06-18 19:56:30,REAL,2842924187,484,2842924671,2842988490
2025-06-18 19:56:32,REAL,2842924671,541,2842925212,2842989031
2025-06-18 19:56:34,REAL,2842925212,489,2842925701,2842989520
2025-06-18 19:56:36,REAL,2842925701,478,2842926179,2842989998
2025-06-18 19:56:38,FAKE,2842926179,241,2842926420,2842990487
2025-06-18 19:56:40,FAKE,2842926420,238,2842926658,2842990972
2025-06-18 19:56:42,REAL,2842926658,480,2842927138,2842991452
2025-06-18 19:56:44,REAL,2842927138,482,2842927620,2842991934
2025-06-18 19:56:46,FAKE,2842927620,244,2842927864,2842992419
2025-06-18 19:56:48,REAL,2842927864,483,2842928347,2842992902
2025-06-18 19:56:50,REAL,2842928347,537,2842928884,2842993439
2025-06-18 19:56:52,REAL,2842928884,477,2842929361,2842993916
2025-06-18 19:56:54,REAL,2842929361,542,2842929903,2842994458
2025-06-18 19:56:56,REAL,2842929903,485,2842930388,2842994943
2025-06-18 19:56:58,REAL,2842930388,480,2842930868,2842995423
2025-06-18 19:57:00,FAKE,2842930868,243,2842931111,2842995915
2025-06-18 19:57:02,FAKE,2842931111,241,2842931352,2842996397
2025-06-18 19:57:04,REAL,2842931352,8548,2842939900,2843004945
2025-06-18 19:57:06,REAL,2842939900,10912,2842950812,2843015857
2025-06-18 19:57:08,FAKE,2842950812,238,2842951050,2843026102
