timestamp,REAL/FAKE,BASE_BYTES,LOAD_BYTES,FINAL_BYTES,REAL_BYTES
2025-06-18 17:48:48,REAL,67383839585,950,67383840535,67383840535
2025-06-18 17:48:50,REAL,67383840535,538,67383841073,67383841073
2025-06-18 17:48:52,REAL,67383841073,538,67383841611,67383841611
2025-06-18 17:48:54,REAL,67383841611,613,67383842224,67383842224
2025-06-18 17:48:56,REAL,67383842224,543,67383842767,67383842767
2025-06-18 17:48:58,REAL,67383842767,550,67383843317,67383843317
2025-06-18 17:49:00,REAL,67383843317,548,67383843865,67383843865
2025-06-18 17:49:02,REAL,67383843865,538,67383844403,67383844403
2025-06-18 17:49:04,REAL,67383844403,609,67383845012,67383845012
2025-06-18 17:49:06,REAL,67383845012,543,67383845555,67383845555
2025-06-18 17:49:08,REAL,67383845555,623,67383846178,67383846178
2025-06-18 17:49:10,REAL,67383846178,534,67383846712,67383846712
2025-06-18 17:49:12,REAL,67383846712,534,67383847246,67383847246
2025-06-18 17:49:14,REAL,67383847246,542,67383847788,67383847788
2025-06-18 17:49:16,REAL,67383847788,532,67383848320,67383848320
2025-06-18 17:49:18,REAL,67383848320,544,67383848864,67383848864
2025-06-18 17:49:20,REAL,67383848864,595,67383849459,67383849459
2025-06-18 17:49:22,REAL,67383849459,541,67383850000,67383850000
2025-06-18 17:49:24,REAL,67383850000,615,67383850615,67383850615
2025-06-18 17:49:26,REAL,67383850615,549,67383851164,67383851164
2025-06-18 17:49:28,REAL,67383851164,532,67383851696,67383851696
2025-06-18 17:49:30,REAL,67383851696,537,67383852233,67383852233
2025-06-18 17:49:32,REAL,67383852233,543,67383852776,67383852776
2025-06-18 17:49:34,REAL,67383852776,545,67383853321,67383853321
2025-06-18 17:49:36,REAL,67383853321,666,67383853987,67383853987
2025-06-18 17:49:38,REAL,67383853987,618,67383854605,67383854605
2025-06-18 17:49:40,REAL,67383854605,602,67383855207,67383855207
2025-06-18 17:49:42,REAL,67383855207,533,67383855740,67383855740
2025-06-18 17:49:44,REAL,67383855740,532,67383856272,67383856272
2025-06-18 17:49:46,REAL,67383856272,538,67383856810,67383856810
2025-06-18 17:49:48,REAL,67383856810,535,67383857345,67383857345
2025-06-18 17:49:50,REAL,67383857345,538,67383857883,67383857883
2025-06-18 17:49:52,REAL,67383857883,601,67383858484,67383858484
2025-06-18 17:49:54,REAL,67383858484,259702,67384118186,67384118186
2025-06-18 17:49:56,REAL,67384118186,29026,67384147212,67384147212
2025-06-18 17:49:58,REAL,67384147212,29246,67384176458,67384176458
2025-06-18 17:50:00,REAL,67384176458,29002,67384205460,67384205460
2025-06-18 17:50:02,REAL,67384205460,29416,67384234876,67384234876
2025-06-18 17:50:04,REAL,67384234876,29352,67384264228,67384264228
2025-06-18 17:50:06,REAL,67384264228,28745,67384292973,67384292973
2025-06-18 17:50:08,REAL,67384292973,15393,67384308366,67384308366
2025-06-18 17:50:10,REAL,67384308366,535,67384308901,67384308901
2025-06-18 17:50:12,REAL,67384308901,539,67384309440,67384309440
2025-06-18 17:50:14,REAL,67384309440,537,67384309977,67384309977
2025-06-18 17:50:16,REAL,67384309977,546,67384310523,67384310523
2025-06-18 17:50:18,REAL,67384310523,538,67384311061,67384311061
2025-06-18 17:50:20,REAL,67384311061,537,67384311598,67384311598
2025-06-18 17:50:22,REAL,67384311598,537,67384312135,67384312135
2025-06-18 17:50:24,REAL,67384312135,734,67384312869,67384312869
2025-06-18 17:50:26,REAL,67384312869,543,67384313412,67384313412
2025-06-18 17:50:28,REAL,67384313412,535,67384313947,67384313947
2025-06-18 17:50:30,REAL,67384313947,539,67384314486,67384314486
2025-06-18 17:50:32,REAL,67384314486,540,67384315026,67384315026
2025-06-18 17:50:34,REAL,67384315026,539,67384315565,67384315565
2025-06-18 17:50:36,REAL,67384315565,540,67384316105,67384316105
2025-06-18 17:50:38,REAL,67384316105,611,67384316716,67384316716
2025-06-18 17:50:40,REAL,67384316716,597,67384317313,67384317313
2025-06-18 17:50:42,REAL,67384317313,544,67384317857,67384317857
2025-06-18 17:50:44,REAL,67384317857,599,67384318456,67384318456
2025-06-18 17:50:46,REAL,67384318456,543,67384318999,67384318999
2025-06-18 17:50:48,REAL,67384318999,536,67384319535,67384319535
2025-06-18 17:50:50,REAL,67384319535,536,67384320071,67384320071
2025-06-18 17:50:52,REAL,67384320071,540,67384320611,67384320611
2025-06-18 17:50:54,REAL,67384320611,622,67384321233,67384321233
2025-06-18 17:50:56,REAL,67384321233,606,67384321839,67384321839
2025-06-18 17:50:58,REAL,67384321839,531,67384322370,67384322370
2025-06-18 17:51:00,REAL,67384322370,541,67384322911,67384322911
2025-06-18 17:51:02,REAL,67384322911,539,67384323450,67384323450
2025-06-18 17:51:04,REAL,67384323450,546,67384323996,67384323996
2025-06-18 17:51:06,REAL,67384323996,540,67384324536,67384324536
2025-06-18 17:51:08,REAL,67384324536,611,67384325147,67384325147
2025-06-18 17:51:10,REAL,67384325147,610,67384325757,67384325757
2025-06-18 17:51:12,REAL,67384325757,31459,67384357216,67384357216
2025-06-18 17:51:14,REAL,67384357216,228504,67384585720,67384585720
2025-06-18 17:51:16,REAL,67384585720,29258,67384614978,67384614978
2025-06-18 17:51:18,REAL,67384614978,29000,67384643978,67384643978
2025-06-18 17:51:20,REAL,67384643978,29476,67384673454,67384673454
2025-06-18 17:51:22,REAL,67384673454,29437,67384702891,67384702891
2025-06-18 17:51:24,REAL,67384702891,29307,67384732198,67384732198
2025-06-18 17:51:26,REAL,67384732198,29180,67384761378,67384761378
2025-06-18 17:51:28,REAL,67384761378,11026,67384772404,67384772404
2025-06-18 17:51:30,REAL,67384772404,537,67384772941,67384772941
2025-06-18 17:51:32,REAL,67384772941,543,67384773484,67384773484
2025-06-18 17:51:34,REAL,67384773484,595,67384774079,67384774079
2025-06-18 17:51:36,REAL,67384774079,533,67384774612,67384774612
2025-06-18 17:51:38,REAL,67384774612,617,67384775229,67384775229
2025-06-18 17:51:40,REAL,67384775229,538,67384775767,67384775767
2025-06-18 17:51:42,REAL,67384775767,537,67384776304,67384776304
2025-06-18 17:51:44,REAL,67384776304,49630,67384825934,67384825934
2025-06-18 17:51:46,REAL,67384825934,212331,67385038265,67385038265
2025-06-18 17:51:48,REAL,67385038265,29074,67385067339,67385067339
2025-06-18 17:51:50,REAL,67385067339,28535,67385095874,67385095874
2025-06-18 17:51:52,REAL,67385095874,28423,67385124297,67385124297
2025-06-18 17:51:54,REAL,67385124297,29847,67385154144,67385154144
2025-06-18 17:51:56,REAL,67385154144,29934,67385184078,67385184078
2025-06-18 17:51:58,REAL,67385184078,29354,67385213432,67385213432
2025-06-18 17:52:00,REAL,67385213432,8975,67385222407,67385222407
2025-06-18 17:52:02,REAL,67385222407,543,67385222950,67385222950
2025-06-18 17:52:04,REAL,67385222950,543,67385223493,67385223493
2025-06-18 17:52:06,REAL,67385223493,535,67385224028,67385224028
2025-06-18 17:52:08,REAL,67385224028,609,67385224637,67385224637
2025-06-18 17:52:10,REAL,67385224637,540,67385225177,67385225177
2025-06-18 17:52:12,REAL,67385225177,545,67385225722,67385225722
2025-06-18 17:52:14,REAL,67385225722,536,67385226258,67385226258
2025-06-18 17:52:16,REAL,67385226258,665,67385226923,67385226923
2025-06-18 17:52:18,REAL,67385226923,538,67385227461,67385227461
2025-06-18 17:52:20,REAL,67385227461,535,67385227996,67385227996
2025-06-18 17:52:22,REAL,67385227996,546,67385228542,67385228542
2025-06-18 17:52:24,REAL,67385228542,613,67385229155,67385229155
2025-06-18 17:52:26,REAL,67385229155,537,67385229692,67385229692
2025-06-18 17:52:28,REAL,67385229692,532,67385230224,67385230224
2025-06-18 17:52:30,REAL,67385230224,533,67385230757,67385230757
2025-06-18 17:52:32,REAL,67385230757,601,67385231358,67385231358
